CustomerID,Days_Since_Last_Transaction,Total_Orders_Count,Total_Prod_Purchased,Total_Spent,Avg_Order_Value,Uniq_Prod_Purchased_Count,Avg_Days_Btw_Order,Fav_DoW,Fav_Hour,is_UK,Cancellation_Count,Total_Transaction_Count,Cancellation_Rate,Avg_Monthly_Spending,Std_Monthly_Spending,Monthly_Spending_Trend
12346,325,2,0,0.0,0.0,1,0.0,1,10,1,1,2,0.5,0.0,0.0,0.0
12347,2,7,2458,4310.0,615.714,103,60.83,1,14,0,0,182,0.0,615.714,341.071,4.486071428571423
12348,75,4,2332,1437.24,359.31,21,94.33,3,19,0,0,27,0.0,359.31,203.876,-100.88399999999999
12349,18,1,630,1457.55,1457.55,72,0.0,0,9,0,0,72,0.0,1457.55,0.0,0.0
12350,310,1,196,294.4,294.4,16,0.0,2,16,0,0,16,0.0,294.4,0.0,0.0
12352,36,8,463,1265.41,158.176,57,69.43,1,14,0,7,84,0.083,316.352,134.701,9.350999999999996
12353,204,1,20,89.0,89.0,4,0.0,3,17,0,0,4,0.0,89.0,0.0,0.0
12354,232,1,530,1079.4,1079.4,58,0.0,3,13,0,0,58,0.0,1079.4,0.0,0.0
12355,214,1,240,459.4,459.4,13,0.0,0,13,0,0,13,0.0,459.4,0.0,0.0
12356,22,3,1573,2487.43,829.143,52,151.5,1,9,0,0,58,0.0,829.143,991.463,-944.6349999999999
12357,33,1,2708,6207.67,6207.67,131,0.0,6,16,0,0,131,0.0,6207.67,0.0,0.0
12358,1,2,242,928.0600000000001,464.03,12,149.0,1,10,0,0,17,0.0,464.03,83.679,118.34000000000003
12359,7,6,1599,6182.9800000000005,1030.497,214,138.0,3,12,0,6,251,0.024,1030.497,1137.567,25.072571428571457
12360,52,3,1156,2302.06,767.353,104,74.0,1,15,0,0,126,0.0,767.353,270.766,0.09999999999996588
12361,287,1,90,174.9,174.9,9,0.0,4,13,0,0,9,0.0,174.9,0.0,0.0
12362,3,13,2180,4665.58,358.891,200,71.17,3,15,0,8,264,0.03,583.198,393.992,46.82404761904763
12363,109,2,408,552.0,276.0,23,133.0,0,13,0,0,23,0.0,276.0,32.668,-46.20000000000002
12364,7,4,1499,1208.1,302.025,69,35.0,4,15,0,0,81,0.0,302.025,211.407,-64.654
12365,291,1,173,320.69,320.69,21,0.0,0,13,0,0,21,0.0,320.69,0.0,0.0
12367,4,1,172,150.9,150.9,10,0.0,0,16,0,0,10,0.0,150.9,0.0,0.0
12370,51,4,2349,3421.94,855.485,142,103.0,1,12,0,0,165,0.0,1140.647,532.149,-502.495
12371,59,1,582,1527.96,1527.96,62,0.0,1,10,0,0,62,0.0,1527.96,0.0,0.0
12372,71,3,788,1196.04,398.68,33,112.5,2,12,0,0,49,0.0,398.68,70.347,-5.050000000000011
12373,311,1,196,324.6,324.6,13,0.0,1,13,0,0,13,0.0,324.6,0.0,0.0
12374,25,1,339,622.93,622.93,32,0.0,0,15,0,0,32,0.0,622.93,0.0,0.0
12375,2,3,175,375.42,125.14,13,48.0,4,14,0,1,16,0.062,125.14,110.187,-96.19
12377,315,2,942,1548.12,774.06,71,39.0,0,9,0,0,76,0.0,774.06,321.677,-454.91999999999996
12378,129,1,2529,4008.62,4008.62,219,0.0,1,10,0,0,219,0.0,4008.62,0.0,0.0
12379,81,3,401,775.29,258.43,38,81.5,0,10,0,1,39,0.026,258.43,227.015,-26.21999999999997
12380,21,5,1109,2423.56,484.712,76,47.25,4,11,0,1,101,0.01,605.89,210.479,82.21199999999997
12381,4,4,772,1433.46,358.365,69,70.33,4,9,0,4,86,0.047,477.82,456.298,-440.19
12383,184,6,1515,1617.31,269.552,83,61.6,2,14,0,1,95,0.011,323.462,236.77,-142.529
12384,28,3,117,406.16,135.387,25,72.0,2,11,0,3,28,0.107,135.387,133.798,-0.05499999999999261
12386,337,2,354,401.9,200.95,10,29.0,2,9,0,0,10,0.0,200.95,81.954,-115.90000000000003
12388,15,6,1462,2780.66,463.443,57,62.2,3,11,0,0,100,0.0,463.443,327.152,59.20857142857143
12390,79,1,350,504.84000000000003,504.84,31,0.0,2,9,0,0,31,0.0,504.84,0.0,0.0
12391,21,1,293,439.66,439.66,92,0.0,4,12,0,0,93,0.0,439.66,0.0,0.0
12393,72,4,816,1582.6000000000001,395.65,47,86.67,2,9,0,0,64,0.0,527.533,109.075,-58.99999999999999
12394,63,2,808,1080.48,540.24,25,154.0,4,14,0,0,25,0.0,540.24,267.513,378.32
12395,15,15,2092,2662.28,177.485,90,71.0,4,16,0,3,147,0.02,295.809,219.915,18.175166666666673
12397,35,2,1250,2214.9,1107.45,109,100.0,2,14,0,0,124,0.0,1107.45,3.338,-4.720000000000027
12398,45,1,1389,1435.66,1435.66,84,0.0,1,10,0,0,84,0.0,1435.66,0.0,0.0
12399,119,4,1173,1033.65,258.413,46,47.33,1,10,0,0,55,0.0,258.413,143.619,-57.111000000000004
12401,303,1,10,69.3,69.3,4,0.0,2,13,0,0,4,0.0,69.3,0.0,0.0
12402,323,1,92,195.6,195.6,10,0.0,3,13,0,0,10,0.0,195.6,0.0,0.0
12403,49,1,94,391.7,391.7,4,0.0,4,10,0,0,4,0.0,391.7,0.0,0.0
12405,148,1,849,1390.39,1390.39,53,0.0,3,8,0,0,53,0.0,1390.39,0.0,0.0
12406,22,3,1809,3280.75,1093.583,92,130.5,3,19,0,3,108,0.028,1093.583,1067.098,86.39999999999998
12407,49,5,1403,1507.1200000000001,301.424,56,53.75,2,9,0,0,72,0.0,376.78,277.275,71.21199999999999
12408,32,8,1382,2587.57,323.446,80,75.0,4,10,0,7,108,0.065,517.514,314.31,44.543
